Query Case No.,Similar Case No.,Similarity Score
Copy of JUDG__1,Copy of JUDG__91,0.2394
Copy of JUDG__1,Copy of JUDG__93,0.208
Copy of JUDG__1,judgement_J_P_559_2017,0.2044
Copy of JUDG__1,Copy of JUDG__45,0.1999
Copy of JUDG__1,Copy of JUDG__76,0.1969
Copy of JUDG__10,judgement_C_P_L_A_3824_2023,0.2278
Copy of JUDG__10,Copy of JUDG__37,0.1875
Copy of JUDG__10,judgement_C_P_L_A_2555_2022,0.1822
Copy of JUDG__10,judgement_Crl_P_L_A_433_2025,0.1763
Copy of JUDG__10,Copy of JUDG__7489,0.1756
Copy of JUDG__101,judgement_Crl_P_L_A_1184_2025,0.2403
Copy of JUDG__101,Copy of JUDG__9366,0.2136
Copy of JUDG__101,Copy of JUDG__7489,0.1714
Copy of JUDG__101,Copy of JUDG__94,0.1525
Copy of JUDG__101,Copy of JUDG__86,0.1451
